system:index,CCA,Date,Elevation,SCA,.geo
Andes_MCDS4S5_Yearly_Monthly_2000_06_3_Andes_MCDS4S5_Yearly_Monthly_2000_06_3,8.92,2000-06-01,3700.0,9.44,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_4_Andes_MCDS4S5_Yearly_Monthly_2000_06_4,8.78,2000-06-01,3800.0,12.42,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_5_Andes_MCDS4S5_Yearly_Monthly_2000_06_5,9.12,2000-06-01,3900.0,17.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_6_Andes_MCDS4S5_Yearly_Monthly_2000_06_6,8.41,2000-06-01,4000.0,21.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_7_Andes_MCDS4S5_Yearly_Monthly_2000_06_7,6.96,2000-06-01,4100.0,12.02,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_8_Andes_MCDS4S5_Yearly_Monthly_2000_06_8,5.58,2000-06-01,4200.0,9.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_9_Andes_MCDS4S5_Yearly_Monthly_2000_06_9,4.44,2000-06-01,4300.0,7.16,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_10_Andes_MCDS4S5_Yearly_Monthly_2000_06_10,6.21,2000-06-01,4400.0,9.95,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_11_Andes_MCDS4S5_Yearly_Monthly_2000_06_11,6.49,2000-06-01,4500.0,11.20,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_12_Andes_MCDS4S5_Yearly_Monthly_2000_06_12,6.83,2000-06-01,4600.0,13.69,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_13_Andes_MCDS4S5_Yearly_Monthly_2000_06_13,9.60,2000-06-01,4700.0,18.60,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_14_Andes_MCDS4S5_Yearly_Monthly_2000_06_14,9.91,2000-06-01,4800.0,28.80,"{""type"":""MultiPoint"",""coordinates"":[]}"
